publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3767335,earthquake,2010-09-03T17:55:04.199Z,2013-07-16T14:52:00.000Z,172.16214,-43.48512,4.293,5.9286,ML,,GROPE,reviewed,,nz1dr,22,11,38,0.044,132,0.20367,0.248,4.714576699
3767340,earthquake,2010-09-03T17:56:27.477Z,2013-07-16T14:52:00.000Z,172.39746,-43.58581,3.29,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,5,0.164,191,0.21343,0.093,19.60581889
3767353,earthquake,2010-09-03T17:56:55.124Z,2013-07-16T14:52:00.000Z,172.20213,-43.598,4.073,5,ML,operator assigned,GROPE,reviewed,,nz1dr,14,7,6,0.129,153,0.20378,0.176,8.329135718
3767387,earthquake,2010-09-03T17:57:23.870Z,2013-07-16T14:52:00.000Z,171.91266,-43.56144,4.486,5,ML,operator assigned,GROPE,reviewed,,nz1dr,21,12,49,0.188,94,0.31108,0.267,20.92228575
3767395,earthquake,2010-09-03T17:57:50.590Z,2013-07-16T14:52:00.000Z,172.18985,-43.4667,4.298,5,ML,operator assigned,GROPE,reviewed,,nz1dr,15,9,15,0.178,95,0.30835,0.174,6.967391947
3767415,earthquake,2010-09-03T17:59:13.914Z,2013-07-16T14:52:00.000Z,172.18355,-43.44917,3.723,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,10,0.161,125,0.2557,0.409,8.779557321
3767422,earthquake,2010-09-03T17:59:49.683Z,2013-07-16T14:52:00.000Z,172.15215,-43.50172,3.506,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,5,10,0.193,135,0.10868,0.32,3.117369891
3767425,earthquake,2010-09-03T18:01:11.774Z,2013-07-16T14:52:00.000Z,172.33322,-43.5995,4.416,8.2243,ML,,GROPE,reviewed,,nz1dr,38,24,57,0.035,81,0.32536,0.247,15.54931986
3767931,earthquake,2010-09-03T18:01:48.652Z,2013-07-16T14:52:00.000Z,172.31989,-43.63719,3.619,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,4,6,0.228,220,0.10241,0.098,17.29396931
3767953,earthquake,2010-09-03T18:02:00.850Z,2013-07-16T14:52:00.000Z,172.57639,-43.62542,3.73,24.0742,ML,,GROPE,reviewed,,nz1dr,11,5,8,0.06,119,0.34384,0.182,34.66439932
